mean,std,var,min,max,rms,zero_cross_rate,spectral_entropy,dominant_freq,energy,iqr,skew,kurtosis,subject_id,activity,qom_category,source_file
-0.0009203741792503907,0.001038089347844244,1.0776294941076879e-06,-0.014498835184505088,0.0012227448557087356,0.001387342107750831,0.00018360414945377767,2.416287137761343,1.5000339007661576,0.04193190904812456,0.0005962154486856442,-6.822728689858503,69.2110101307149,S03,walk,Intervention Priority,S03WALK.CSV
-0.0008794915696250276,0.0005741827978562785,3.2968588535406394e-07,-0.0019739321769421192,0.0010974391373613805,0.0010503291419338792,0.00018360414945377767,0.9220142511948312,2.0000452010215435,0.02403412580113365,0.0006530722736807874,0.8806076865872191,1.121429691813284,S03,walk,Intervention Priority,S03WALK.CSV
-0.0009343686398732893,0.0005149200080902431,2.65142614731656e-07,-0.0019739321769421192,0.0010974391373613805,0.0010668586457025675,0.00018360414945377767,0.7184952362300341,2.0000452010215435,0.024796550040866155,0.0005265367438081732,1.012540188758371,2.560863680323357,S03,walk,Intervention Priority,S03WALK.CSV
-0.0008453414976763013,0.00046855043355808535,2.1953950878746976e-07,-0.0024246463855406267,0.00041480325025364777,0.0009665100912463779,0.00018360414945377767,0.731281980640852,2.0000452010215435,0.020351212306696845,0.0005038551898457671,-0.5390730116109034,1.5714243328225912,S03,walk,Intervention Priority,S03WALK.CSV
-0.0007689508750499508,0.0006123986704359403,3.7503213155170744e-07,-0.0026623556618791027,0.0010603417637522574,0.0009830145369178385,0.00018360414945377767,1.0855488096441592,2.0000452010215435,0.02105219479334399,0.0005585695686553674,-0.23055533247859716,1.8734482270164712,S03,walk,Intervention Priority,S03WALK.CSV
-0.0007879141026369768,0.0005803099524203871,3.3675964087815196e-07,-0.0026623556618791027,0.0010603417637522574,0.0009785541753078286,9.180207472688883e-05,1.0097550472967995,2.0000452010215435,0.020861582417633806,0.0007255605782957212,0.08133608852445877,1.739841077632426,S03,walk,Intervention Priority,S03WALK.CSV
-0.0008383430762904136,0.000464742466634072,2.1598556029312155e-07,-0.0018920488954553125,0.0004301437212373502,0.0009585429953096501,9.180207472688883e-05,0.7313062422759914,2.0000452010215435,0.02001707862465287,0.000625378190955475,0.266024955971987,-0.09021506693892833,S03,walk,Intervention Priority,S03WALK.CSV
-0.000848726850954172,0.00046781268739509057,2.1884871048781671e-07,-0.002019374947557652,0.0004301437212373502,0.0009691160807758798,9.180207472688883e-05,0.7426163926403283,6.0001356030646305,0.0204611057171089,0.0005756907644493268,0.06541612791784225,0.23455932104796817,S03,walk,Intervention Priority,S03WALK.CSV
-0.0008380951910313995,0.0006608108398504035,4.3667096606379557e-07,-0.002641764160617353,0.002164210650433837,0.0010672743392838384,0.00018360414945377767,1.146745642054876,3.0000678015323152,0.02481587739018972,0.000542326685128025,0.9623349742820776,5.081824681166275,S03,walk,Intervention Priority,S03WALK.CSV
-0.0006997136041151308,0.000857671766188143,7.356008585162887e-07,-0.002641764160617353,0.0021645690307117147,0.0011068875219732467,0.00036720829890755534,1.825915965511637,6.500146903320016,0.026692206901533427,0.0006218559807436011,0.8945551964219053,2.3293073879787896,S03,walk,Intervention Priority,S03WALK.CSV
-0.0009598753190298469,0.0008612379015829415,7.417307231229884e-07,-0.007800278245886838,0.000933558634555083,0.0012896089915961498,0.0002754062241806665,1.6092422160921662,5.000113002553858,0.036232108177366044,0.0005167065974114903,-2.4998082934113897,12.515792732854793,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0009381047717061083,0.00047635395514237155,2.2691309057978052e-07,-0.0020641595167824427,0.0005289195515391808,0.001052118649809778,0.0002754062241806665,0.6330270592681587,2.0000452010215435,0.02411609229030471,0.0004639985774335457,0.5948722174387928,0.9026751580769212,S03,walk,Healthy Baseline,S03WALK01.CSV
