in s,C1 in V
-5.9671836E+00,8.03105E-02
-5.9670918E+00,-7.98457E-02
-5.9670000E+00,8.32402E-02
-5.9669082E+00,-7.30098E-02
-5.9668164E+00,7.93340E-02
-5.9667246E+00,-7.15449E-02
-5.9666328E+00,7.68926E-02
-5.9665410E+00,-3.44355E-02
-5.9664492E+00,-8.06836E-03
-5.9663574E+00,7.59160E-02
-5.9662656E+00,-2.51582E-02
-5.9661738E+00,7.29863E-02
-5.9660820E+00,1.09746E-02
-5.9659902E+00,-5.15254E-02
-5.9658984E+00,7.39629E-02
-5.9658066E+00,5.88262E-02
-5.9657148E+00,-6.22676E-02
-5.9656230E+00,-6.91035E-02
-5.9655312E+00,-5.62695E-03
-5.9654394E+00,3.83184E-02
-5.9653476E+00,5.49199E-02
-5.9652558E+00,-1.44160E-02
-5.9651640E+00,-1.58809E-02
-5.9650722E+00,5.05254E-02
-5.9649804E+00,5.98027E-02
-5.9648886E+00,-6.17793E-02
-5.9647968E+00,5.88262E-02
-5.9647050E+00,-2.27168E-02
-5.9646132E+00,9.02148E-03
-5.9645214E+00,4.27129E-02
-5.9644296E+00,1.68340E-02
-5.9643378E+00,1.39043E-02
-5.9642460E+00,-4.66426E-02
-5.9641542E+00,4.32012E-02
-5.9640624E+00,-8.17988E-02
-5.9639706E+00,7.64043E-02
-5.9638788E+00,1.48809E-02
-5.9637870E+00,-3.63887E-02
-5.9636952E+00,-5.78730E-02
-5.9636034E+00,-8.32637E-02
-5.9635116E+00,5.63848E-02
-5.9634198E+00,-4.76191E-02
-5.9633280E+00,-8.42402E-02
-5.9632362E+00,5.24785E-02
-5.9631444E+00,5.88262E-02
-5.9630526E+00,-5.83613E-02
-5.9629608E+00,6.56621E-02
-5.9628690E+00,4.80840E-02
-5.9627772E+00,-8.22871E-02
-5.9626854E+00,7.73809E-02
-5.9625936E+00,-5.73848E-02
-5.9625018E+00,6.71270E-02
-5.9624100E+00,3.78301E-02
-5.9623182E+00,-8.17988E-02
-5.9622264E+00,6.12676E-02
-5.9621346E+00,6.22441E-02
-5.9620428E+00,-8.08223E-02
-5.9619510E+00,7.20098E-02
-5.9618592E+00,-7.10566E-02
-5.9617674E+00,8.32402E-02
-5.9616756E+00,-8.08223E-02
-5.9615838E+00,3.83184E-02
-5.9614920E+00,-8.08223E-02
-5.9614002E+00,5.29668E-02
-5.9613084E+00,5.49199E-02
-5.9612166E+00,-7.59395E-02
-5.9611248E+00,3.14824E-02
-5.9610330E+00,6.61504E-02
-5.9609412E+00,6.76152E-02
-5.9608494E+00,-6.12910E-02
-5.9607576E+00,6.71270E-02
-5.9606658E+00,-4.46895E-02
-5.9605740E+00,-2.85762E-02
-5.9604822E+00,6.81035E-02
-5.9603904E+00,6.76152E-02
-5.9602986E+00,-2.46699E-02
-5.9602068E+00,-2.61348E-02
-5.9601150E+00,5.88262E-02
-5.9600232E+00,2.56230E-02
-5.9599314E+00,4.62695E-03
-5.9598396E+00,-8.86348E-02
-5.9597478E+00,-2.36934E-02
-5.9596560E+00,7.10332E-02
-5.9595642E+00,6.41973E-02
-5.9594724E+00,-5.25020E-02
-5.9593806E+00,-1.68574E-02
-5.9592888E+00,6.32207E-02
-5.9591970E+00,-7.30098E-02
-5.9591052E+00,5.68730E-02
-5.9590134E+00,5.15020E-02
-5.9589216E+00,8.53320E-03
-5.9588298E+00,-1.39277E-02
-5.9587380E+00,5.58965E-02
-5.9586462E+00,6.71270E-02
-5.9585544E+00,7.24980E-02
-5.9584626E+00,7.44512E-02
-5.9583708E+00,5.10137E-02
-5.9582790E+00,5.63848E-02
-5.9581872E+00,4.36895E-02
-5.9580954E+00,-3.78535E-02
-5.9580036E+00,-4.07832E-02
-5.9579118E+00,-3.44355E-02
-5.9578200E+00,3.00176E-02
-5.9577282E+00,4.12480E-02
-5.9576364E+00,1.53691E-02
-5.9575446E+00,4.27129E-02
-5.9574528E+00,2.61113E-02
-5.9573610E+00,6.66387E-02
-5.9572692E+00,7.29863E-02
-5.9571774E+00,4.75957E-02
-5.9570856E+00,4.27129E-02
-5.9569938E+00,-6.32441E-02
