Time(s),Voltage(V)
-5.963328,-0.00154492
-5.9632362,0.0297051
-5.9631444,-0.010334
-5.9630526,0.00187305
-5.9629608,-0.000568359
-5.962869,0.012127
-5.9627772,-0.00252148
-5.9626854,-0.00545117
-5.9625936,-8.00781e-05
-5.9625018,0.00675586
-5.96241,0.00333789
-5.9623182,0.0414238
-5.9622264,-0.013752
-5.9621346,0.00236133
-5.9620428,0.00333789
-5.961951,0.00138477
-5.9618592,0.00187305
-5.9617674,-0.00252148
-5.9616756,-0.000568359
-5.9615838,-0.00154492
-5.961492,-0.00593945
-5.9614002,0.00333789
-5.9613084,0.00284961
-5.9612166,0.00968555
-5.9611248,0.000896484
-5.961033,-0.00496289
-5.9609412,-0.00154492
-5.9608494,-0.00496289
-5.9607576,-0.010334
-5.9606658,-0.00545117
-5.960574,-0.0142402
-5.9604822,-0.0288887
-5.9603904,0.00187305
-5.9602986,-0.00838086
-5.9602068,-0.013752
-5.960115,-0.0210762
-5.9600232,-0.00545117
-5.9599314,-0.0161934
-5.9598396,-0.019123
-5.9597478,-0.0113105
-5.959656,-0.0152168
-5.9595642,-8.00781e-05
-5.9594724,-0.00447461
-5.9593806,-0.0113105
-5.9592888,0.0214043
-5.959197,-0.0127754
-5.9591052,0.000896484
-5.9590134,-0.00252148
-5.9589216,-0.0157051
-5.9588298,-0.0166816
-5.958738,-0.0113105
-5.9586462,-0.0117988
-5.9585544,-0.0108223
-5.9584626,0.00431445
-5.9583708,-0.0113105
-5.958279,-0.0249824
-5.9581872,-0.0323066
-5.9580954,-0.0288887
-5.9580036,-0.0249824
-5.9579118,-0.0127754
-5.95782,-0.0113105
-5.9577282,-0.0254707
-5.9576364,-0.00838086
-5.9575446,-0.0230293
-5.9574528,-0.0298652
-5.957361,-0.0288887
-5.9572692,-0.0240059
-5.9571774,-0.0181465
-5.9570856,-0.0186348
-5.9569938,-0.0127754
-5.956902,-0.029377
-5.9568102,-0.0230293
-5.9567184,-0.0332832
-5.9566266,-0.0161934
-5.9565348,-0.0181465
-5.956443,0.0101738
-5.9563512,-0.0254707
-5.9562594,0.00626758
-5.9561676,-0.00398633
-5.9560758,0.0140801
-5.955984,-0.0186348
-5.9558922,0.0204277
-5.9558004,0.00431445
-5.9557086,-0.00691602
